Fuel cell
 Automatic
 23.10.2024 14:07:29
 
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.083000	3.468438	0.001844	0.006396
0.583000	3.471016	0.001844	0.006401
1.083000	3.472734	0.001844	0.006404
1.583000	3.473164	0.000000	0.000000
2.083000	3.474453	0.001844	0.006407
2.583000	3.474883	0.001844	0.006408
3.083000	3.342539	0.005530	0.018484
3.583000	3.216211	0.011061	0.035575
4.083000	3.102774	0.016591	0.051478
4.583000	3.028437	0.020278	0.061411
5.083000	2.992344	0.025808	0.077226
5.583000	2.954102	0.029495	0.087131
6.083000	2.930469	0.033182	0.097239
6.583000	2.908555	0.035025	0.101872
7.083000	2.903398	0.033182	0.096341
7.583000	2.896523	0.040556	0.117471
8.083000	2.853125	0.046086	0.131489
8.583000	2.818750	0.051616	0.145493
9.083000	2.782227	0.057147	0.158996
9.583000	2.753008	0.062677	0.172550
10.083000	2.722930	0.070051	0.190744
10.583000	2.692851	0.075581	0.203528
11.083000	2.668789	0.081111	0.216468
11.583000	2.642578	0.088485	0.233829
12.083000	2.624101	0.092172	0.241869
12.583000	2.604765	0.097702	0.254491
13.083000	2.582422	0.103233	0.266591
13.583000	2.561797	0.110607	0.283353
14.083000	2.533867	0.116137	0.294276
14.583000	2.519687	0.121667	0.306563
15.083000	2.497344	0.129041	0.322260
15.583000	2.474140	0.134571	0.332947
16.084000	2.457383	0.140102	0.344284
16.583000	2.432890	0.147475	0.358790
17.083000	2.404961	0.154849	0.372406
17.583000	2.383476	0.162223	0.386655
18.083000	2.352539	0.173284	0.407657
18.583000	2.323750	0.180657	0.419802
19.083000	2.294961	0.188031	0.431524
19.583000	2.264023	0.197248	0.446574
20.083000	2.231797	0.206465	0.460788
20.583000	2.204727	0.213839	0.471457
21.083000	2.193555	0.221213	0.485243
21.583000	2.163906	0.230430	0.498629
22.083000	2.140703	0.237804	0.509068
22.583000	2.107617	0.245178	0.516741
23.083000	2.088281	0.256238	0.535097
23.583000	2.072812	0.265456	0.550240
24.083000	2.050469	0.274673	0.563208
24.583000	2.025976	0.282047	0.571420
25.083000	1.994609	0.291264	0.580958
25.583000	1.964102	0.298637	0.586554
26.083000	1.938320	0.307855	0.596722
26.583000	1.905664	0.317072	0.604233
27.083000	1.877734	0.326289	0.612684
27.583000	1.850664	0.335506	0.620909
28.083000	1.815430	0.346567	0.629168
28.583000	1.782773	0.355784	0.634282
29.083000	1.749688	0.365001	0.638638
29.583000	1.717461	0.372375	0.639540
30.083000	1.689101	0.383436	0.647662
30.583000	1.654297	0.390809	0.646514
31.083000	1.622070	0.401870	0.651861
31.583000	1.586836	0.412931	0.655254
32.083000	1.545586	0.425835	0.658165
32.583000	1.513359	0.435052	0.658390
33.083000	1.491875	0.446113	0.665545
33.583000	1.466953	0.455330	0.667948
34.083000	1.426992	0.468234	0.668166
34.583000	1.388750	0.477451	0.663060
35.083000	1.359961	0.486668	0.661849
35.583000	1.316992	0.497729	0.655505
36.083000	1.271016	0.508790	0.646680
36.583000	1.222461	0.519850	0.635496
37.083000	1.168320	0.532754	0.622427
37.583000	1.112461	0.543815	0.604973
38.083000	1.057891	0.554876	0.586998
38.584000	1.003750	0.564093	0.566208
39.083000	0.944883	0.575153	0.543452
39.583000	0.881719	0.586214	0.516876
40.083000	0.811250	0.597275	0.484539
40.583000	0.730039	0.608335	0.444108
41.083000	0.641953	0.621240	0.398807
41.583000	0.540977	0.630457	0.341063
42.083000	0.441289	0.643361	0.283908
42.583000	0.317109	0.652578	0.206938
43.083000	0.219141	0.665482	0.145834
43.583000	0.126328	0.678386	0.085699
