Fuel cell
 Voltage controlled: 2.45 V
 Scan rate: 0.50 s
 23.10.2024 14:51:35
 
 Time [s]	Voltage [V]	Current [A]	Power [W]
0.323000	3.530312	0.001844	0.006510
0.823000	3.079570	0.068207	0.210048
1.323000	2.646015	0.132728	0.351200
1.823000	2.558359	0.158536	0.405592
2.323000	2.501211	0.175127	0.438030
2.823000	2.473281	0.182501	0.451376
3.323000	2.450938	0.188031	0.460852
3.823000	2.443203	0.191718	0.468406
4.323000	2.435898	0.191718	0.467005
4.823000	2.432031	0.189874	0.461779
5.323000	2.430742	0.188031	0.457055
5.823000	2.427305	0.188031	0.456409
6.323000	2.426445	0.188031	0.456247
6.823000	2.428594	0.184344	0.447697
7.323000	2.428594	0.182501	0.443221
7.823000	2.427734	0.182501	0.443064
8.323000	2.427305	0.182501	0.442986
8.823000	2.430312	0.180657	0.439053
9.323000	2.430742	0.180657	0.439131
9.823000	2.429023	0.176970	0.429864
10.323000	2.429023	0.175127	0.425388
10.823000	2.431172	0.173284	0.421283
11.323000	2.431172	0.173284	0.421283
11.823000	2.432890	0.173284	0.421581
12.323000	2.429883	0.173284	0.421060
12.823000	2.430742	0.173284	0.421209
13.323000	2.431172	0.173284	0.421283
13.823000	2.432461	0.169597	0.412538
14.323000	2.430312	0.169597	0.412174
14.823000	2.433320	0.167753	0.408197
15.325000	2.436328	0.167753	0.408701
15.823000	2.441055	0.167753	0.409494
16.323000	2.439766	0.169597	0.413777
16.823000	2.439766	0.171440	0.418273
17.323000	2.438047	0.171440	0.417979
17.823000	2.436328	0.171440	0.417684
18.323000	2.436328	0.169597	0.413194
18.823000	2.434609	0.171440	0.417389
19.323000	2.435039	0.171440	0.417463
19.823000	2.436758	0.173284	0.422251
20.323000	2.438477	0.171440	0.418052
20.823000	2.438477	0.171440	0.418052
21.323000	2.437187	0.173284	0.422326
21.823000	2.436328	0.171440	0.417684
22.323000	2.435039	0.171440	0.417463
22.823000	2.435469	0.171440	0.417537
23.323000	2.435039	0.171440	0.417463
23.823000	2.434180	0.171440	0.417316
24.323000	2.433750	0.171440	0.417242
24.823000	2.435898	0.169597	0.413121
25.323000	2.433750	0.169597	0.412757
25.823000	2.430742	0.171440	0.416726
26.323000	2.432031	0.169597	0.412465
26.823000	2.432890	0.165910	0.403641
27.323000	2.430312	0.167753	0.407692
27.823000	2.431172	0.165910	0.403356
28.323000	2.432031	0.165910	0.403498
28.823000	2.432890	0.165910	0.403641
29.323000	2.430742	0.164066	0.398802
29.823000	2.432031	0.162223	0.394531
30.323000	2.433320	0.162223	0.394740
30.823000	2.432031	0.162223	0.394531
31.323000	2.432890	0.160379	0.390184
31.823000	2.431602	0.162223	0.394462
32.323000	2.435039	0.158536	0.386041
32.823000	2.434180	0.158536	0.385905
33.323000	2.434609	0.158536	0.385973
33.823000	2.435469	0.158536	0.386110
34.323000	2.438477	0.156693	0.382092
34.823000	2.436328	0.160379	0.390736
